# Train        Test        
    0.732617     0.808300 
    0.831417     0.902900 
    0.862883     0.927600 
    0.878933     0.928300 
    0.890317     0.929100 
    0.900717     0.945300 
    0.906750     0.949200 
    0.913050     0.953400 
    0.914917     0.951300 
    0.920750     0.955500 
    0.919750     0.945800 
    0.924783     0.957100 
    0.928733     0.960300 
    0.930450     0.957900 
    0.932967     0.961100 
    0.933400     0.964200 
    0.935533     0.956600 
    0.937583     0.965300 
    0.939250     0.966100 
    0.939583     0.960100 
    0.940950     0.959300 
    0.942800     0.960800 
    0.944333     0.966600 
    0.944783     0.959500 
    0.945617     0.970300 
    0.947417     0.969100 
    0.948350     0.970200 
    0.947517     0.965700 
    0.948417     0.971300 
    0.948600     0.969900 
    0.951000     0.964600 
    0.953183     0.965900 
    0.951950     0.969400 
    0.951217     0.971400 
    0.953250     0.972700 
    0.955533     0.965200 
    0.953267     0.969800 
    0.952950     0.970000 
    0.952550     0.973500 
    0.955767     0.972500 
    0.954717     0.965000 
    0.956567     0.971600 
    0.957600     0.975800 
    0.957933     0.972600 
    0.958633     0.973500 
    0.959867     0.974900 
    0.959567     0.975100 
    0.959000     0.972900 
    0.959100     0.975900 
    0.960000     0.977500 
    0.960783     0.965200 
    0.962067     0.973300 
    0.959500     0.978000 
    0.961783     0.978400 
    0.961317     0.979700 
    0.961050     0.976400 
    0.962117     0.979300 
    0.961967     0.977200 
    0.961200     0.978400 
    0.961767     0.975800 
    0.961117     0.963300 
    0.962883     0.978900 
    0.963350     0.979400 
    0.963450     0.978700 
    0.963317     0.976400 
    0.963050     0.976800 
    0.965400     0.979200 
    0.966300     0.976800 
    0.966083     0.977600 
    0.965383     0.978800 
    0.965933     0.956800 
    0.965250     0.974000 
    0.964067     0.979000 
    0.964983     0.979600 
    0.966583     0.977600 
    0.966617     0.978600 
    0.966717     0.977000 
    0.966683     0.976900 
    0.966083     0.977800 
    0.968233     0.978300 
    0.966717     0.971200 
    0.968417     0.980300 
    0.968800     0.977800 
    0.968333     0.977400 
    0.967350     0.977200 
    0.968267     0.975000 
    0.967767     0.980900 
    0.968750     0.980600 
    0.968983     0.980200 
    0.968533     0.980600 
    0.968750     0.964600 
    0.968067     0.979800 
    0.967383     0.979700 
    0.969417     0.980000 
    0.969367     0.979700 
    0.969083     0.976900 
    0.969850     0.977500 
    0.968400     0.979300 
    0.967933     0.975500 
    0.969117     0.981800 
