# Train        Test        
    0.845603     0.741885 
    0.542925     0.322125 
    0.441734     0.242931 
    0.387830     0.241634 
    0.355297     0.223128 
    0.324203     0.192699 
    0.305900     0.169913 
    0.283990     0.162675 
    0.274907     0.164779 
    0.259479     0.149336 
    0.269444     0.225516 
    0.248225     0.142804 
    0.237625     0.133726 
    0.226883     0.139655 
    0.220230     0.131830 
    0.213943     0.121397 
    0.211464     0.132900 
    0.204024     0.122192 
    0.199505     0.115485 
    0.198056     0.124664 
    0.196204     0.149471 
    0.190139     0.131522 
    0.181274     0.111723 
    0.183005     0.137762 
    0.177368     0.101206 
    0.172995     0.106186 
    0.169556     0.099629 
    0.169785     0.111586 
    0.167593     0.094859 
    0.166266     0.097046 
    0.164144     0.122082 
    0.155830     0.106957 
    0.155227     0.099171 
    0.158162     0.098891 
    0.152933     0.092269 
    0.146138     0.109293 
    0.153534     0.094373 
    0.153768     0.098825 
    0.154093     0.088583 
    0.146941     0.092298 
    0.149129     0.126632 
    0.144186     0.089067 
    0.141502     0.081299 
    0.139548     0.090051 
    0.138459     0.086476 
    0.135413     0.082113 
    0.135149     0.084706 
    0.136118     0.083966 
    0.132624     0.081816 
    0.132617     0.077492 
    0.129199     0.114782 
    0.125441     0.082921 
    0.132601     0.072305 
    0.124445     0.072035 
    0.126315     0.071355 
    0.127400     0.075116 
    0.122715     0.071802 
    0.122711     0.076816 
    0.127325     0.068555 
    0.124383     0.077874 
    0.124890     0.121749 
    0.120219     0.068629 
    0.117077     0.063422 
    0.118357     0.070611 
    0.119762     0.075092 
    0.118627     0.069352 
    0.113405     0.065409 
    0.113101     0.070427 
    0.110665     0.072429 
    0.112961     0.065918 
    0.111058     0.135756 
    0.111057     0.081524 
    0.114687     0.066467 
    0.110763     0.068252 
    0.108952     0.073877 
    0.109638     0.068542 
    0.107406     0.070998 
    0.108200     0.069646 
    0.109365     0.064720 
    0.103602     0.062638 
    0.106356     0.097504 
    0.102098     0.062124 
    0.100055     0.066451 
    0.103047     0.066279 
    0.104607     0.075735 
    0.102799     0.073862 
    0.102432     0.062723 
    0.102073     0.064511 
    0.100601     0.062678 
    0.102503     0.062709 
    0.101530     0.118466 
    0.103664     0.064763 
    0.102393     0.065204 
    0.099540     0.062756 
    0.099996     0.066858 
    0.099733     0.069996 
    0.096811     0.071430 
    0.100979     0.062469 
    0.102880     0.073951 
    0.099091     0.058091 
