# Train        Test        
    0.547143     0.624286 
    0.531429     0.507143 
    0.538571     0.517143 
    0.547143     0.534286 
    0.564286     0.534286 
    0.585714     0.605714 
    0.635714     0.640000 
    0.661429     0.651429 
    0.681429     0.682857 
    0.688571     0.670000 
    0.754286     0.784286 
    0.694286     0.675714 
    0.701429     0.702857 
    0.694286     0.691429 
    0.711429     0.720000 
    0.728571     0.731429 
    0.750000     0.750000 
    0.744286     0.762857 
    0.748571     0.784286 
    0.774286     0.784286 
    0.761429     0.870000 
    0.720000     0.695714 
    0.722857     0.702857 
    0.734286     0.705714 
    0.732857     0.704286 
    0.734286     0.704286 
    0.731429     0.708571 
    0.734286     0.710000 
    0.738571     0.704286 
    0.741429     0.708571 
