# Train        Test        
    0.685383     0.689030 
    0.676118     0.675823 
    0.666824     0.666965 
    0.656472     0.656176 
    0.644722     0.646442 
    0.631834     0.635002 
    0.619007     0.623363 
    0.605909     0.611937 
    0.593329     0.601323 
    0.582730     0.590090 
    0.614007     0.636396 
    0.587790     0.595495 
    0.576984     0.585518 
    0.567396     0.576973 
    0.558101     0.566913 
    0.549177     0.559311 
    0.539069     0.548248 
    0.529891     0.538809 
    0.519754     0.528235 
    0.510161     0.519803 
    0.538460     0.571499 
    0.504202     0.510288 
    0.477552     0.485121 
    0.456471     0.469477 
    0.440273     0.451851 
    0.427192     0.442445 
    0.414801     0.429454 
    0.406088     0.420314 
    0.394643     0.408676 
    0.386642     0.402704 
